,epsilon,p,length,size
4033,2.0,0.065,5.48,0.21234999999999996
4032,2.0,0.07,5.97,0.25919999999999993
4031,2.0,0.075,6.49,0.2908499999999999
4030,2.0,0.08,7.29,0.34980000000000006
4029,2.0,0.085,6.83,0.34105
4028,2.0,0.09,6.22,0.3022499999999999
4027,2.0,0.095,7.46,0.41975
4026,2.0,0.1,6.66,0.37089999999999995
4025,2.0,0.125,7.24,0.5082
4024,2.0,0.15,8.44,0.6979500000000001
4023,2.0,0.175,7.91,0.73735
4022,2.0,0.2,7.53,0.7783
4021,2.0,0.225,7.37,0.83805
4020,2.0,0.25,6.88,0.8380000000000001
4019,2.0,0.275,6.57,0.8785
4018,2.0,0.3,6.28,0.8589500000000001
4017,2.0,0.325,6.23,0.9386500000000001
4016,2.0,0.35,6.07,0.9581000000000001
4015,2.0,0.375,5.34,0.8987999999999999
4014,2.0,0.4,5.52,0.95875
4013,2.0,0.425,5.27,0.9592500000000002
4012,2.0,0.45,5.13,0.9592999999999999
4011,2.0,0.475,5.01,0.98895
4010,2.0,0.5,4.68,0.9792000000000002
4009,2.0,0.525,4.44,0.98905
4008,2.0,0.55,4.57,0.9994
4007,2.0,0.575,4.48,0.9994
4006,2.0,0.6,4.08,0.9698
4005,2.0,0.625,4.12,0.9796
4004,2.0,0.65,4.08,0.9994500000000001
4003,2.0,0.675,3.96,0.9895499999999999
4002,2.0,0.7,3.88,0.99945
4001,2.0,0.725,3.61,0.9995499999999999
4000,2.0,0.75,3.7,0.99965
3999,2.0,0.775,3.69,0.9997
3998,2.0,0.8,3.52,0.98965
3997,2.0,0.825,3.5,0.9995999999999999
